crater_id;latitude;longitude;diam_circle_image;depth_rimfloor_topog
22-000004;-13.51;134.174;108.52;0.42
22-000282;-16.669;134.429;27.83;0.36
22-000311;-14.204;134.649;26.17;0.23
22-000448;-15.247;134.84;21.11;1.23
22-001125;-14.009;134.992;10.66;0.3
22-001149;-16.319;134.478;10.42;0.2
22-001610;-15.228;134.603;7.64;0.36
22-002783;-16.224;134.478;4.44;0.47
22-002975;-15.227;134.749;4.12;0.59
22-004386;-14.239;134.747;2.65;0.0
22-004912;-16.719;134.464;2.38;0.0
22-005192;-16.235;134.947;2.27;0.0
22-005681;-15.145;134.488;2.1;0.0
22-005975;-14.862;134.666;2.01;0.0
22-006526;-13.845;134.718;1.89;0.0
22-007892;-14.839;134.752;1.65;0.0
22-007936;-15.795;134.739;1.64;0.0
22-008093;-15.126;134.779;1.62;0.0
22-008135;-14.955;134.885;1.62;0.0
22-010638;-13.992;134.955;1.36;0.0
22-012262;-16.38;134.583;1.26;0.0
22-012818;-14.704;134.774;1.22;0.0
22-013200;-15.076;134.583;1.21;0.0
22-013469;-13.982;134.671;1.19;0.0
22-013908;-15.591;134.719;1.17;0.0
22-014367;-14.033;134.934;1.15;0.0
22-014735;-13.887;134.732;1.14;0.0
22-016493;-14.988;134.671;1.08;0.0
22-017071;-14.333;134.733;1.06;0.0
22-018288;-15.797;134.921;1.03;0.0
22-018489;-14.835;134.58;1.02;0.0
22-018501;-13.767;134.998;1.02;0.0
22-019377;-16.197;134.653;1.0;0.0
23-000012;-15.361;140.334;101.74;0.0
23-000021;-15.941;137.433;91.22;0.28
23-000109;-13.668;138.279;45.69;0.12
23-000210;-15.408;139.502;35.27;0.14
23-000284;-13.855;138.455;29.48;1.47
23-000302;-14.265;137.256;28.55;0.36
23-000324;-16.425;140.108;27.46;0.23
23-000335;-13.485;137.44;27.2;0.0
23-000383;-15.857;136.313;24.87;0.11
23-000458;-14.646;137.306;21.92;1.06
23-000558;-13.643;137.243;19.37;0.23
23-000599;-15.52;138.021;18.39;0.38
23-000628;-15.538;137.641;17.97;0.96
23-001131;-14.368;136.728;11.07;0.18
23-001261;-14.28;136.883;9.93;0.86
23-001385;-13.662;137.372;9.05;0.16
23-001426;-16.152;139.122;8.81;0.58
23-001457;-14.135;139.621;8.65;0.86
23-001500;-14.397;135.553;8.46;0.82
23-001676;-16.518;137.9;7.64;0.19
23-001732;-16.783;136.686;7.47;0.76
23-001807;-14.32;139.666;7.13;0.16
23-001867;-13.738;135.806;6.9;0.15
23-001899;-16.117;139.438;6.81;0.04
23-001922;-16.264;136.415;6.71;0.61
23-002003;-14.928;139.549;6.44;0.17
23-002030;-13.819;135.649;6.35;0.14
23-002045;-15.991;138.594;6.28;0.15
23-002134;-16.436;135.768;5.98;0.0
23-002228;-15.909;137.364;5.71;0.55
23-002254;-13.705;139.165;5.64;0.0
23-002269;-15.656;139.796;5.61;0.0
23-002305;-15.524;136.616;5.51;0.68
23-002439;-13.717;137.862;5.21;0.08
23-002507;-13.826;139.25;5.04;0.46
23-002514;-16.776;136.58;5.02;0.0
23-002538;-16.161;136.421;4.96;0.47
23-002585;-15.679;138.639;4.86;0.0
23-002591;-15.414;138.361;4.86;0.0
23-002596;-16.335;138.248;4.85;0.0
23-002918;-15.858;139.459;4.28;0.49
23-003022;-15.437;138.184;4.14;0.0
23-003032;-13.992;137.604;4.12;0.0
23-003148;-15.435;136.77;3.93;0.0
23-003150;-15.73;137.689;3.93;0.37
23-003198;-15.845;138.408;3.85;0.0
23-003240;-14.789;135.944;3.79;0.0
23-003313;-14.496;139.091;3.7;0.0
23-003413;-16.779;136.301;3.57;0.41
23-003520;-14.311;138.954;3.44;0.41
23-003541;-15.034;137.958;3.41;0.09
23-003568;-14.955;136.515;3.38;0.43
23-003716;-14.726;136.58;3.24;0.36
23-003718;-14.169;136.068;3.24;0.44
23-003740;-14.57;136.359;3.22;0.4
23-003772;-15.123;136.799;3.2;0.44
23-003891;-14.709;139.287;3.09;0.0
23-003969;-14.368;139.585;3.02;0.0
23-003994;-14.684;137.854;3.0;0.0
23-004014;-14.842;137.605;2.99;0.0
23-004080;-14.464;135.309;2.93;0.0
23-004091;-16.669;139.306;2.92;0.0
23-004182;-14.098;135.74;2.85;0.0
23-004285;-14.131;138.195;2.77;0.0
23-004490;-14.918;136.782;2.65;0.0
23-004620;-15.005;137.094;2.58;0.0
23-004641;-16.129;138.112;2.57;0.0
23-004656;-16.547;139.197;2.56;0.0
23-004685;-16.751;135.028;2.55;0.0
23-004747;-13.972;138.94;2.52;0.0
23-004759;-16.086;138.082;2.51;0.0
23-004803;-16.695;139.418;2.49;0.0
23-004917;-15.113;135.061;2.44;0.0
23-005019;-15.744;135.053;2.39;0.0
23-005254;-14.184;139.213;2.29;0.0
23-005322;-14.548;137.786;2.26;0.0
23-005341;-14.818;139.42;2.26;0.0
23-005366;-13.807;136.379;2.25;0.0
23-005398;-16.684;139.559;2.23;0.0
23-005412;-16.101;138.721;2.23;0.0
23-005630;-16.654;139.596;2.15;0.0
23-005664;-15.001;138.665;2.14;0.0
23-005731;-14.841;139.089;2.12;0.0
23-005771;-14.501;138.183;2.1;0.0
23-005870;-16.375;139.545;2.08;0.0
23-005901;-14.161;138.762;2.07;0.0
23-005909;-15.312;135.103;2.07;0.0
23-005910;-16.575;139.351;2.07;0.0
23-005936;-14.392;138.025;2.06;0.0
23-005975;-14.306;138.193;2.05;0.0
23-005997;-16.706;139.489;2.04;0.0
23-006152;-14.107;139.135;2.0;0.0
23-006169;-15.93;138.708;2.0;0.0
23-006263;-16.168;137.48;1.98;0.0
23-006296;-14.443;136.049;1.97;0.0
23-006309;-15.699;137.152;1.97;0.0
23-006324;-16.738;139.681;1.96;0.0
23-006328;-14.544;138.653;1.96;0.0
23-006338;-15.831;139.381;1.96;0.0
23-006405;-15.101;138.843;1.94;0.0
23-006450;-14.47;138.186;1.93;0.0
23-006520;-14.974;137.92;1.91;0.0
23-006547;-16.061;137.441;1.9;0.0
23-006697;-16.437;139.229;1.87;0.0
23-006751;-16.342;139.533;1.86;0.0
23-006767;-16.324;138.736;1.85;0.0
23-006787;-14.433;138.601;1.85;0.0
23-006880;-15.142;137.068;1.84;0.0
23-006951;-16.155;138.966;1.82;0.0
23-006972;-16.738;139.359;1.81;0.0
23-006998;-14.461;138.61;1.81;0.0
23-007071;-15.053;138.073;1.79;0.0
23-007077;-14.629;136.841;1.79;0.0
23-007093;-14.621;136.997;1.79;0.0
23-007097;-15.245;138.646;1.79;0.0
23-007179;-14.819;139.661;1.77;0.0
23-007242;-14.385;139.72;1.76;0.0
23-007307;-15.14;135.226;1.75;0.0
23-007403;-16.329;138.774;1.73;0.0
23-007425;-13.886;137.716;1.73;0.0
23-007452;-14.406;138.587;1.72;0.0
23-007765;-16.261;139.619;1.67;0.0
23-007798;-15.798;138.675;1.67;0.0
23-007800;-16.536;139.437;1.67;0.0
23-007809;-14.331;139.753;1.67;0.0
23-007983;-14.523;138.813;1.64;0.0
23-008003;-13.78;135.892;1.64;0.0
23-008051;-16.04;135.107;1.63;0.0
23-008094;-13.663;135.429;1.62;0.0
23-008158;-13.957;137.182;1.61;0.0
23-008160;-13.802;137.394;1.61;0.0
23-008172;-14.015;138.044;1.61;0.0
23-008178;-16.032;138.797;1.61;0.0
23-008241;-14.335;138.702;1.6;0.0
23-008254;-16.698;139.526;1.6;0.0
23-008269;-15.038;135.814;1.6;0.0
23-008415;-16.172;137.545;1.58;0.0
